VALID,URGENT,AIRCRAFT,REPORT,ICING,TURBULENCE,ATRCC,PRODUCT_ID,FL,LAT,LON
202008010504,F,C180,SVW UA /OV SVW290034 /TM 0504 /FL055 /TP C180 /SK SCT090 /WX FV99SM /TA 07 /TB NEG /IC NEG /RM (AKFSS,NEG,NEG,ZAN,None,5500,61.283827113291494,-156.67156572480084
202008010504,F,C180,SVW UA /OV SVW290034 /TM 0504 /FL055 /TP C180 /SK SCT090 /WXFV99SM /TA 07 /TB NEG /IC NEG /RM (AKFSS),NEG,NEG,ZAN,None,5500,61.283827113291494,-156.67156572480084
202008010510,F,H,MEM UA /OV MEM 3 MILES NORTH/TM 0510/FL013/TP H/B767/SK OVC013,None,None,ZME,None,1300,35.06111,-89.985
202008010515,F,B777,CVG UA /OV CVG/TM 0515/FLDURD/TP B777/SK BASES 041 TOPS 110,None,None,ZID,None,None,39.04306,-84.67167
202008010611,F,B734,CVG UA /OV 5 W CVG/TM 0611/FLDURD/TP B734/SK T100 BKN B027,None,None,ZID,None,None,39.04306,-84.77897398325544
202008010612,F,C180,ANC UA /OV ENA278082-ENA282072 /TM 0612 /FL055 /TP C180 /SK OVC090/TB LGT CHOP /RM MERRILL PASS EAST SIDE OVC055 (AKFSS),None,LGT CHOP,ZAN,None,5500,60.76021864445644,-153.99455142645704
202008010612,F,C180,ANC UA /OV ENA278082-ENA282072 /TM 0612 /FL055 /TP C180 /SK OVC090 /TB LGT CHOP /RM MERRILL PASS EAST SIDE OVC055 (AKFSS,None,LGT CHOP,ZAN,None,5500,60.76021864445644,-153.99455142645704
202008010700,F,B190,SDF UA /OV 20 NE SDF/TM 0700/FL030/TP B190/SK CLR LAYERS ABV,None,None,ZID,None,3000,38.410111352297704,-85.43615088630447
202008010700,F,B190,SDF UA /OV 20 NE SDF/TM 0700/FL030/TP B190/SK CLR LAYERS ABV & BLO,None,None,ZID,None,3000,38.410111352297704,-85.43615088630447
202008010712,F,B737,JNU UA /OV SSR310030/TM 0712/FL340/TP B737/TB MOD /RM ZAN,None,MOD,ZAN,None,34000,58.491419837767495,-135.97630398005742
202008010734,F,R44,MLF UA /OV KCDC-U52 /TM 0734 /FL070 /TP R44 /TB NEG /RM SMTH,None,NEG,ZLC,None,7000,37.96535,-112.88765
202008010734,F,B744,CVG UA /OV 10 NW CVG/TM 0734/FLDURD/TP B744/SK B025 OVC T UNKNOWN/RM MULTIPLE LAYERS,None,None,ZID,None,None,39.138663816014805,-84.8474665544881
202008010745,F,B777,MEM UA /OV KMEM/TM 0745/FLDURD/TP B777/SK BASE 013,None,None,ZME,None,None,35.06111,-89.985
202008010810,F,B737,ANC UA /OV TED130014/TM 0810/FL100/TP B737/TA 08/IC TRACE RIME/RM DURD WITTI4 ANC,TRACE RIME,None,ZAN,None,10000,61.020004075708506,-149.61929579082735
202008010818,F,BE20,UA /OV CYPE /TM 0818 /FLDURD /TP BE20 /RM ON APCH RWY 22 WND 150030DN TO 50 FT AGL,None,None,None,None,None,56.22694,-117.44722
202008010833,F,B737,SIT UA /OV BKA290090/TM 0833/FL380/TP B737/TB MOD CHOP/ 400 LGT OCNL MOD/RM ZAN,None,MOD CHOP,ZAN,None,38000,57.37307177047747,-138.1285393936461
202008010839,F,B734,CVG UA /OV 3 NW CVG/TM 0839/FLDURC/TP B734/SK B010 OVC T0108 CLR ABV,None,None,ZID,None,None,39.07174114480444,-84.72440896634643
202008010847,F,B763,SDF UA /OV SDF/TM 0847/FLDURC/TP B763/SK BKN015-TOP020,None,None,ZID,None,None,38.17439,-85.736
202008010902,F,B757,MEM UA /OV MEM 4 MILES/TM 0902/FL020/TP B757/RM SMOOTH RIDE,None,None,ZME,None,2000,35.06111,-89.985
202008010903,F,A21N,MDO UA /OV MDO098192/TM 0903/FL330/TP A21N/TB CONT LGT/RM ZAN,None,CONT LGT,ZAN,None,33000,58.99461000322395,-140.06698897344526
